5.100000000000000000e+01,9.200000000000000000e+01
1.500000000000000000e+01,3.800000000000000000e+01
6.600000000000000000e+01,7.300000000000000000e+01
4.900000000000000000e+01,5.200000000000000000e+01
3.200000000000000000e+01,5.700000000000000000e+01
4.300000000000000000e+01,9.300000000000000000e+01
3.000000000000000000e+00,3.400000000000000000e+01
4.100000000000000000e+01,4.400000000000000000e+01
6.300000000000000000e+01,2.400000000000000000e+01
1.000000000000000000e+01,5.200000000000000000e+01
